,,,,,,,,Eurobarometer - 99.2,,,,,,,,,,,,,,,,,,,,,,,
,,VOL A weighted,,,,,Terrain/Fieldwork :  11/04 - 16/05/2023,,,,,,,,,,,,,,,,,,,,,,,,
,"QB1.4. Pour chacun des types de discrimination suivants, dites-moi si, selon vous, il s'agit de quelque chose de très répandu, assez répandu, plutôt rare ou très rare en (NOTRE PAYS) ? Les discriminations désignent le fait d'être traité de manière défavorable par rapport à d'autres personnes, sur la base de critères arbitraires. Des discriminations basées sur…  ",,,,,,"QB1.4. For each of the following types of discrimination, could you please tell me whether, in your opinion, it is very widespread, fairly widespread, fairly rare or very rare in (OUR COUNTRY)? By discrimination we mean when somebody is treated unfavourably compared with others based on arbitrary criteria. Discrimination on the basis of… ",,,,,,,,,,,,,,,,,,,,,,,,
,"L'orientation sexuelle (être par exemple lesbienne, gay ou bisexuel·le)",,,,,,"Sexual orientation (for example being lesbian, gay or bisexual)",,,,,,,,,,,,,,,,,,,,,,,,
,Base: Ensemble,,,,,,Base: All respondents,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"UE27
EU27",BE,BG,CZ,DK,D-W,DE,D-E,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE
,Non-existant (SPONTANÉ),411,1,33,48,8,19,31,12,57,17,24,12,3,12,2,21,106,24,10,43,4,6,28,25,5,44,20,31,7,3
,Non-existent (SPONTANEOUS),1%,-,3%,5%,1%,1%,2%,4%,6%,2%,3%,1%,-,1%,-,4%,11%,2%,2%,4%,1%,1%,3%,3%,1%,4%,2%,3%,1%,-
,Ne sait pas,2831,33,251,180,59,180,216,37,229,102,92,87,102,105,69,57,266,229,61,82,20,39,154,82,177,175,99,223,147,29
,Don't know,11%,3%,25%,18%,6%,15%,14%,12%,23%,10%,9%,9%,10%,10%,7%,11%,26%,23%,12%,8%,4%,4%,15%,8%,17%,17%,10%,22%,14%,3%
,Total 'Répandu',14987,639,369,232,574,587,728,141,279,553,630,596,665,492,754,311,268,466,215,479,254,694,463,548,694,391,516,295,487,691
,Total 'Widespread',57%,63%,37%,22%,56%,48%,48%,48%,27%,54%,62%,59%,66%,49%,74%,62%,27%,46%,42%,47%,49%,69%,46%,54%,68%,37%,51%,29%,48%,68%
,Total 'Rare',8170,338,359,565,378,441,549,108,445,344,268,309,236,403,202,115,369,286,222,417,236,265,367,360,145,443,366,471,369,297
,Total 'Rare',31%,34%,35%,55%,37%,36%,36%,36%,44%,34%,26%,31%,24%,40%,19%,23%,36%,29%,44%,41%,46%,26%,36%,35%,14%,42%,37%,46%,37%,29%
,,VOL A weighted,,,,,Terrain/Fieldwork :  11/04 - 16/05/2023,,,,,,,,,,,,,,,,,,,,,,,,
,"QB1.11. Pour chacun des types de discrimination suivants, dites-moi si, selon vous, il s'agit de quelque chose de très répandu, assez répandu, plutôt rare ou très rare en (NOTRE PAYS) ? Les discriminations désignent le fait d'être traité de manière défavorable par rapport à d'autres personnes, sur la base de critères arbitraires. Des discriminations basées sur…  ",,,,,,"QB1.11. For each of the following types of discrimination, could you please tell me whether, in your opinion, it is very widespread, fairly widespread, fairly rare or very rare in (OUR COUNTRY)? By discrimination we mean when somebody is treated unfavourably compared with others based on arbitrary criteria. Discrimination on the basis of… ",,,,,,,,,,,,,,,,,,,,,,,,
