"Jurisdiction","Year","Marriage diff.-sex","Marriage same-sex","Registered partnership diff.-sex","Registered partnership same-sex","Cohabitation diff.-sex","Cohabitation same-sex","Adoption for married diff. Adoption for married sex couples","Adoption for married same-sex couple","Adoption for registered partnership diff.-sex couples","Adoption for registered partenership same-sex","Adoption for diff.-sex couple that cohabiate","Adoption for same.-sex couple that cohabiate"
"Austria (a)",2016,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","Yes","Yes","Yes"
"Austria (a)",2015,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Austria (a)",2015,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Austria (a)",2014,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Austria (a)",2014,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Austria (a)",2013,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Austria (a)",2013,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Austria (a)",2012,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Austria (a)",2012,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Austria (a)",2011,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Austria (a)",2011,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Austria (a)",2010,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Austria (a)",2010,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Austria (a)",2009,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2009,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2008,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2008,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2007,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2007,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2006,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2006,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2005,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2005,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2004,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2004,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2003,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2003,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2002,"Yes","No","No","No","Yes","Yes but","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2002,"Yes","No","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2001,"Yes","No","No","No","Yes","Yes but","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2001,"Yes","No","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2000,"Yes","No","No","No","Yes","Yes but","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2000,"Yes","No","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",1999,"Yes","No","No","No","Yes","Yes but","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",1999,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",1998,"Yes","No","No","No","Yes","Yes but","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",1998,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",1997,"Yes","No","No","No","Yes","Yes but","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",1997,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",1996,"Yes","No","No","No","Yes","No","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",1996,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",1995,"Yes","No","No","No","Yes","No","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",1995,"Yes","No","No","No","No but","No but","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",1994,"Yes","No","No","No","Yes","No","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",1994,"Yes","No","No","No","No but","No but","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",1993,"Yes","No","No","No","Yes","No","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",1993,"Yes","No","No","No","No but","No but","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",1992,"Yes","No","No","No","Yes","No","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",1992,"Yes","No","No","No","No but","No but","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",1991,"Yes","No","No","No","Yes","No","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",1991,"Yes","No","No","No","No but","No but","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",1990,"Yes","No","No","No","Yes","No","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",1990,"Yes","No","No","No","No but","No but","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",1989,"Yes","No","No","No","Yes","No","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",1989,"Yes","No","No","No","No but","?","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",2015,"Yes","No","No","No","Yes","No but","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",2014,"Yes","No","No","No","Yes","No but","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",2013,"Yes","No","No","No","Yes","No but","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",2012,"Yes","No","No","No","Yes","No but","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",2011,"Yes","No","No","No","Yes","No but","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",2010,"Yes","No","No","No","Yes","No but","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",2009,"Yes","No","No","No","Yes","No but","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",2008,"Yes","No","No","No","Yes","No but","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",2007,"Yes","No","No","No","Yes","No but","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",2006,"Yes","No","No","No","Yes","No but","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",2005,"Yes","No","No","No","Yes","?","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",2004,"Yes","No","No","No","?","?","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",2003,"Yes","No","No","No","?","?","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",2002,"Yes","No","No","No","?","?","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",2001,"Yes","No","No","No","?","?","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",2000,"Yes","No","No","No","?","?","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",1999,"Yes","No","No","No","?","?","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",1998,"Yes","No","No","No","?","?","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",1997,"Yes","No","No","No","?","?","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",1996,"Yes","No","No","No","?","?","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",1995,"Yes","No","No","No","?","?","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",1994,"Yes","No","No","No","?","?","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",1993,"Yes","No","No","No","?","?","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",1992,"Yes","No","No","No","?","?","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",1991,"Yes","No","No","No","?","?","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",1990,"Yes","No","No","No","?","?","Yes","N/A","N/A","N/A","No","No"
"Bulgaria (c)",1989,"Yes","No","No","No","?","?","Yes","N/A","N/A","N/A","No","No"
"Czech Republic (d)",2015,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Czech Republic (d)",2014,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Czech Republic (d)",2013,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Czech Republic (d)",2012,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Czech Republic (d)",2011,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Czech Republic (d)",2010,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Czech Republic (d)",2009,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Czech Republic (d)",2008,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Czech Republic (d)",2007,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Czech Republic (d)",2006,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Czech Republic (d)",2005,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Czech Republic (d)",2004,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Czech Republic (d)",2003,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Czech Republic (d)",2002,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Czech Republic (d)",2001,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Czech Republic (d)",2000,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Czech Republic (d)",1999,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Czech Republic (d)",1998,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Czech Republic (d)",1997,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Czech Republic (d)",1996,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Czech Republic (d)",1995,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Czech Republic (d)",1994,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Czech Republic (d)",1993,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Czech Republic (d)",1992,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Czech Republic (d)",1991,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Czech Republic (d)",1990,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Czech Republic (d)",1989,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Finland (e)",2015,"Yes","No","No","Yes","Yes but","Yes but","Yes","N/A","N/A","No","No","No"
"Finland (e)",2014,"Yes","No","No","Yes","Yes but","Yes but","Yes","N/A","N/A","No","No","No"
"Finland (e)",2013,"Yes","No","No","Yes","Yes but","Yes but","Yes","N/A","N/A","No","No","No"
"Finland (e)",2012,"Yes","No","No","Yes","Yes but","Yes but","Yes","N/A","N/A","No","No","No"
"Finland (e)",2011,"Yes","No","No","Yes","Yes but","Yes but","Yes","N/A","N/A","No","No","No"
"Finland (e)",2010,"Yes","No","No","Yes","No but","No but","Yes","N/A","N/A","No","No","No"
"Finland (e)",2009,"Yes","No","No","Yes","No but","No but","Yes","N/A","N/A","No","No","No"
"Finland (e)",2008,"Yes","No","No","Yes","No but","No but","Yes","N/A","N/A","No","No","No"
"Finland (e)",2007,"Yes","No","No","Yes","No but","No but","Yes","N/A","N/A","No","No","No"
"Finland (e)",2006,"Yes","No","No","Yes","No but","No but","Yes","N/A","N/A","No","No","No"
"Finland (e)",2005,"Yes","No","No","Yes","No but","No but","Yes","N/A","N/A","No","No","No"
"Finland (e)",2004,"Yes","No","No","Yes","No but","No but","Yes","N/A","N/A","No","No","No"
"Finland (e)",2003,"Yes","No","No","Yes","No but","No but","Yes","N/A","N/A","No","No","No"
"Finland (e)",2002,"Yes","No","No","Yes","No but","No but","Yes","N/A","N/A","No","No","No"
"Finland (e)",2001,"Yes","No","No","No","No but","No but","Yes","N/A","N/A","N/A","No","No"
"Finland (e)",2000,"Yes","No","No","No","No but","No but","Yes","N/A","N/A","N/A","No","No"
"Finland (e)",1999,"Yes","No","No","No","No but","No but","Yes","N/A","N/A","N/A","No","No"
"Finland (e)",1998,"Yes","No","No","No","No but","No but","Yes","N/A","N/A","N/A","No","No"
"Finland (e)",1997,"Yes","No","No","No","No but","No but","Yes","N/A","N/A","N/A","No","No"
"Finland (e)",1996,"Yes","No","No","No","No but","No but","Yes","N/A","N/A","N/A","No","No"
"Finland (e)",1995,"Yes","No","No","No","No but","No but","Yes","N/A","N/A","N/A","No","No"
"Finland (e)",1994,"Yes","No","No","No","No but","No but","Yes","N/A","N/A","N/A","No","No"
"Finland (e)",1993,"Yes","No","No","No","No but","No but","Yes","N/A","N/A","N/A","No","No"
"Finland (e)",1992,"Yes","No","No","No","No but","No but","Yes","N/A","N/A","N/A","No","No"
"Finland (e)",1991,"Yes","No","No","No","No but","No but","Yes","N/A","N/A","N/A","No","No"
"Finland (e)",1990,"Yes","No","No","No","No but","No but","Yes","N/A","N/A","N/A","No","No"
"Finland (e)",1989,"Yes","No","No","No","No but","No but","Yes","N/A","N/A","N/A","No","No"
"France (f)",2015,"Yes","Yes","Yes","Yes","Yes","Yes","Yes but","Yes but","No","No","No","No"
"France (f)",2014,"Yes","Yes","Yes","Yes","Yes","Yes","Yes but","Yes but","No","No","No","No"
"France (f)",2013,"Yes","Yes","Yes","Yes","Yes","Yes","Yes but","Yes but","No","No","No","No"
"France (f)",2012,"Yes","No","Yes","Yes","Yes","Yes","Yes but","N/A","No","No","No","No"
"France (f)",2011,"Yes","No","Yes","Yes","Yes","Yes","Yes but","N/A","No","No","No","No"
"France (f)",2010,"Yes","No","Yes","Yes","Yes","Yes","Yes but","N/A","No","No","No","No"
"France (f)",2009,"Yes","No","Yes","Yes","Yes","Yes","Yes but","N/A","No","No","No","No"
"France (f)",2008,"Yes","No","Yes","Yes","Yes","Yes","Yes but","N/A","No","No","No","No"
"France (f)",2007,"Yes","No","Yes","Yes","Yes","Yes","Yes but","N/A","No","No","No","No"
"France (f)",2006,"Yes","No","Yes","Yes","Yes","Yes","Yes but","N/A","No","No","No","No"
"France (f)",2005,"Yes","No","Yes","Yes","Yes","Yes","Yes but","N/A","No","No","No","No"
"France (f)",2004,"Yes","No","Yes","Yes","Yes","Yes","Yes but","N/A","No","No","No","No"
"France (f)",2003,"Yes","No","Yes","Yes","Yes","Yes","Yes but","N/A","No","No","No","No"
"France (f)",2002,"Yes","No","Yes","Yes","Yes","Yes","Yes but","N/A","No","No","No","No"
"France (f)",2001,"Yes","No","Yes","Yes","Yes","Yes","Yes but","N/A","No","No","No","No"
"France (f)",2000,"Yes","No","Yes","Yes","Yes","Yes","Yes but","N/A","No","No","No","No"
"France (f)",1999,"Yes","No","Yes","Yes","Yes","Yes","Yes but","N/A","No","No","No","No"
"France (f)",1998,"Yes","No","No","No","Yes but","No","Yes but","N/A","N/A","N/A","No","No"
"France (f)",1997,"Yes","No","No","No","Yes but","No","Yes but","N/A","N/A","N/A","No","No"
"France (f)",1996,"Yes","No","No","No","Yes but","No","Yes but","N/A","N/A","N/A","No","No"
"France (f)",1995,"Yes","No","No","No","Yes but","No","Yes but","N/A","N/A","N/A","No","No"
"France (f)",1994,"Yes","No","No","No","Yes but","No","Yes but","N/A","N/A","N/A","No","No"
"France (f)",1993,"Yes","No","No","No","Yes but","No","Yes but","N/A","N/A","N/A","No","No"
"France (f)",1992,"Yes","No","No","No","Yes but","No","Yes but","N/A","N/A","N/A","No","No"
"France (f)",1991,"Yes","No","No","No","Yes but","No","Yes but","N/A","N/A","N/A","No","No"
"France (f)",1990,"Yes","No","No","No","Yes but","No","Yes but","N/A","N/A","N/A","No","No"
"France (f)",1989,"Yes","No","No","No","Yes but","No","Yes but","N/A","N/A","N/A","No","No"
"Germany (g)",2015,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No but","No","No"
"Germany (g)",2014,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No but","No","No"
"Germany (g)",2013,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No but","No","No"
"Germany (g)",2012,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Germany (g)",2011,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Germany (g)",2010,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Germany (g)",2009,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Germany (g)",2008,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Germany (g)",2007,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Germany (g)",2006,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Germany (g)",2005,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Germany (g)",2004,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Germany (g)",2003,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Germany (g)",2002,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Germany (g)",2001,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Germany (g)",2000,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Germany (g)",1999,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Germany (g)",1998,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Germany (g)",1997,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Germany (g)",1996,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Germany (g)",1995,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Germany (g)",1994,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Germany (g)",1993,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Germany (g)",1992,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Germany (g)",1991,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Germany (g)",1990,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Germany (g)",1989,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Greece (h)",2016,"Yes","No","Yes","Yes","No but","No but","Yes","No","No","No","No","No"
"Greece (h)",2015,"Yes","No","Yes","Yes","No but","No but","Yes","No","No","No","No","No"
"Greece (h)",2014,"Yes","No","Yes","No but","No but","No but","Yes","N/A","No","N/A","No","No"
"Greece (h)",2013,"Yes","No","Yes","No but","No but","No but","Yes","N/A","No","N/A","No","No"
"Greece (h)",2012,"Yes","No","Yes","No","No but","No but","Yes","N/A","No","N/A","No","No"
"Greece (h)",2011,"Yes","No","Yes","No","No but","No but","Yes","N/A","No","N/A","No","No"
"Greece (h)",2010,"Yes","No","Yes","No","No but","No","Yes","N/A","No","N/A","No","No"
"Greece (h)",2009,"Yes","No","Yes","No","No but","No","Yes","N/A","No","N/A","No","No"
"Greece (h)",2008,"Yes","No","Yes","No","No but","No","Yes","N/A","No","N/A","No","No"
"Greece (h)",2007,"Yes","No","No","No","No but","No","Yes","N/A","N/A","N/A","No","No"
"Greece (h)",2006,"Yes","No","No","No","No but","No","Yes","N/A","N/A","N/A","No","No"
"Greece (h)",2005,"Yes","No","No","No","No but","No","Yes","N/A","N/A","N/A","No","No"
"Greece (h)",2004,"Yes","No","No","No","No but","No","Yes","N/A","N/A","N/A","No","No"
"Greece (h)",2003,"Yes","No","No","No","No but","No","Yes","N/A","N/A","N/A","No","No"
"Greece (h)",2002,"Yes","No","No","No","No but","No","Yes","N/A","N/A","N/A","No","No"
"Greece (h)",2001,"Yes","No","No","No","No","No","Yes","N/A","N/A","N/A","No","No"
"Greece (h)",2000,"Yes","No","No","No","No","No","Yes","N/A","N/A","N/A","No","No"
"Greece (h)",1999,"Yes","No","No","No","No","No","Yes","N/A","N/A","N/A","No","No"
"Greece (h)",1998,"Yes","No","No","No","No","No","Yes","N/A","N/A","N/A","No","No"
"Greece (h)",1997,"Yes","No","No","No","No","No","Yes","N/A","N/A","N/A","No","No"
"Greece (h)",1996,"Yes","No","No","No","No","No","Yes","N/A","N/A","N/A","No","No"
"Greece (h)",1995,"Yes","No","No","No","No","No","Yes","N/A","N/A","N/A","No","No"
"Greece (h)",1994,"Yes","No","No","No","No","No","Yes","N/A","N/A","N/A","No","No"
"Greece (h)",1993,"Yes","No","No","No","No","No","Yes","N/A","N/A","N/A","No","No"
"Greece (h)",1992,"Yes","No","No","No","No","No","Yes","N/A","N/A","N/A","No","No"
"Greece (h)",1991,"Yes","No","No","No","No","No","Yes","N/A","N/A","N/A","No","No"
"Greece (h)",1990,"Yes","No","No","No","No","No","Yes","N/A","N/A","N/A","No","No"
"Greece (h)",1989,"Yes","No","No","No","No","No","Yes","N/A","N/A","N/A","No","No"
"Hungary (i)",2015,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Hungary (i)",2014,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Hungary (i)",2013,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Hungary (i)",2012,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Hungary (i)",2011,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Hungary (i)",2010,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Hungary (i)",2009,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Hungary (i)",2008,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Hungary (i)",2007,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Hungary (i)",2006,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Hungary (i)",2005,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Hungary (i)",2004,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Hungary (i)",2003,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Hungary (i)",2002,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Hungary (i)",2001,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Hungary (i)",2000,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Hungary (i)",1999,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Hungary (i)",1998,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Hungary (i)",1997,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Hungary (i)",1996,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Hungary (i)",1995,"Yes","No","No","No","Yes","No","Yes","N/A","N/A","N/A","No","No"
"Hungary (i)",1994,"Yes","No","No","No","Yes","No","Yes","N/A","N/A","N/A","No","No"
"Hungary (i)",1993,"Yes","No","No","No","Yes","No","Yes","N/A","N/A","N/A","No","No"
"Hungary (i)",1992,"Yes","No","No","No","Yes","No","Yes","N/A","N/A","N/A","No","No"
"Hungary (i)",1991,"Yes","No","No","No","Yes","No","Yes","N/A","N/A","N/A","No","No"
"Hungary (i)",1990,"Yes","No","No","No","Yes","No","Yes","N/A","N/A","N/A","No","No"
"Hungary (i)",1989,"Yes","No","No","No","Yes","No","Yes","N/A","N/A","N/A","No","No"
"Iceland (j)",2015,"Yes","Yes","No","No but","Yes","Yes","Yes","Yes","N/A","Yes","Yes but","Yes but"
"Iceland (j)",2014,"Yes","Yes","No","No but","Yes","Yes","Yes","Yes","N/A","Yes","Yes but","Yes but"
"Iceland (j)",2013,"Yes","Yes","No","No but","Yes","Yes","Yes","Yes","N/A","Yes","Yes but","Yes but"
"Iceland (j)",2012,"Yes","Yes","No","No but","Yes","Yes","Yes","Yes","N/A","Yes","Yes but","Yes but"
"Iceland (j)",2011,"Yes","Yes","No","No but","Yes","Yes","Yes","Yes","N/A","Yes","Yes but","Yes but"
"Iceland (j)",2010,"Yes","Yes","No","No but","Yes","Yes","Yes","Yes","N/A","Yes","Yes but","Yes but"
"Iceland (j)",2009,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","Yes","Yes but","Yes but"
"Iceland (j)",2008,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","Yes","Yes but","Yes but"
"Iceland (j)",2007,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","Yes","Yes but","Yes but"
"Iceland (j)",2006,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","Yes","Yes but","Yes but"
"Iceland (j)",2005,"Yes","No","No","Yes","Yes","No but","Yes","N/A","N/A","No","Yes but","No"
"Iceland (j)",2004,"Yes","No","No","Yes","Yes","No but","Yes","N/A","N/A","No","Yes but","No"
"Iceland (j)",2003,"Yes","No","No","Yes","Yes","No but","Yes","N/A","N/A","No","Yes but","No"
"Iceland (j)",2002,"Yes","No","No","Yes","Yes","No but","Yes","N/A","N/A","No","Yes but","No"
"Iceland (j)",2001,"Yes","No","No","Yes","Yes","No but","Yes","N/A","N/A","No","Yes but","No"
"Iceland (j)",2000,"Yes","No","No","Yes","Yes","No but","Yes","N/A","N/A","No","Yes but","No"
"Iceland (j)",1999,"Yes","No","No","Yes","Yes","No but","Yes","N/A","N/A","No","Yes but","No"
"Iceland (j)",1998,"Yes","No","No","Yes","Yes","No but","Yes","N/A","N/A","No","No","No"
"Iceland (j)",1997,"Yes","No","No","Yes","Yes","No but","Yes","N/A","N/A","No","No","No"
"Iceland (j)",1996,"Yes","No","No","Yes","Yes","No but","Yes","N/A","N/A","No","No","No"
"Iceland (j)",1995,"Yes","No","No","No","Yes","No but","Yes","N/A","N/A","N/A","No","No"
"Iceland (j)",1994,"Yes","No","No","No","Yes","No but","Yes","N/A","N/A","N/A","No","No"
"Iceland (j)",1993,"Yes","No","No","No","Yes","No but","Yes","N/A","N/A","N/A","No","No"
